, Cl 8 Production US , Cl 8 Production Canada , Cl 8 Production  Mexico , Cl 8 Production  Exports , CL 8 Production  N.A. , CL 5-7 Production US , CL 5-7 Production Canada , CL 5-7 Production Mexico , CL 5-7 Production Exports , CL 5-7 Production N.A. ,,,,,,,,,,,
Assumptions,,,,,,,,,,,,,,,,,,,,,
Data Source, http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   , http://www.actresearch.net/reports/   ,,,,,,,,,,,
Jan-96," 15,788 "," 1,596 ", 95 , 706 ," 18,185 "," 13,233 ", 543 , 468 , 248 ," 14,492 ",,,,,,,,,,,
Feb-96," 16,479 "," 1,543 ", 73 , 556 ," 18,651 "," 14,200 ", 484 , 472 , 305 ," 15,461 ",,,,,,,,,,,
Mar-96," 15,595 "," 1,638 ", 73 , 554 ," 17,860 "," 13,098 ", 848 , 472 , 214 ," 14,632 ",,,,,,,,,,,
Apr-96," 15,500 "," 1,388 ", 75 , 582 ," 17,545 "," 14,190 ", 668 , 473 , 314 ," 15,645 ",,,,,,,,,,,
May-96," 15,321 "," 1,494 ", 74 , 837 ," 17,726 "," 15,206 ", 465 , 474 , 388 ," 16,533 ",,,,,,,,,,,
Jun-96," 14,308 "," 1,436 ", 98 , 553 ," 16,395 "," 13,410 ", 297 , 475 , 428 ," 14,610 ",,,,,,,,,,,
Jul-96," 11,536 "," 1,225 ", 74 , 679 ," 13,514 "," 9,110 ", 312 , 479 , 228 ," 10,129 ",,,,,,,,,,,
Aug-96," 13,033 "," 1,908 ", 100 , 657 ," 15,698 "," 11,802 ", 609 , 479 , 377 ," 13,267 ",,,,,,,,,,,
Sep-96," 13,211 "," 1,654 ", 74 , 601 ," 15,540 "," 10,501 ", 368 , 479 , 433 ," 11,781 ",,,,,,,,,,,
Oct-96," 12,689 "," 1,777 ", 74 , 697 ," 15,237 "," 12,506 ", 441 , 479 , 643 ," 14,069 ",,,,,,,,,,,
Nov-96," 11,848 "," 1,973 ", 74 , 819 ," 14,714 "," 11,289 ", 607 , 476 , 469 ," 12,841 ",,,,,,,,,,,
Dec-96," 10,853 "," 1,449 ", 156 , 836 ," 13,294 "," 10,345 ", 373 , 475 , 524 ," 11,717 ",,,,,,,,,,,
Jan-97," 12,668 "," 1,766 ", 595 , 779 ," 15,808 "," 13,290 ", 474 , 905 , 800 ," 15,469 ",,,,,,,,,,,
Feb-97," 13,853 "," 1,570 ", 540 , 610 ," 16,573 "," 13,736 ", 472 , 909 , 533 ," 15,650 ",,,,,,,,,,,
Mar-97," 13,185 "," 2,056 ", 593 , 875 ," 16,709 "," 14,651 ", 795 , 905 , 470 ," 16,821 ",,,,,,,,,,,
Apr-97," 15,051 "," 1,944 ", 638 , 776 ," 18,409 "," 15,171 ", 771 , 923 , 653 ," 17,518 ",,,,,,,,,,,
May-97," 14,596 "," 2,558 ", 619 , 816 ," 18,589 "," 15,242 ", 545 , 913 , 618 ," 17,318 ",,,,,,,,,,,
Jun-97," 14,879 "," 2,364 ", 833 , 937 ," 19,013 "," 15,434 ", 703 , 912 , 607 ," 17,656 ",,,,,,,,,,,
Jul-97," 13,400 "," 2,370 ", 700 , 852 ," 17,322 "," 10,837 ", 536 , 902 , 476 ," 12,751 ",,,,,,,,,,,
Aug-97," 14,242 "," 2,478 ", 778 , 968 ," 18,466 "," 14,899 ", 761 , 909 , 718 ," 17,287 ",,,,,,,,,,,
Sep-97," 16,492 "," 2,727 ", 733 ," 1,008 "," 20,960 "," 16,150 ", 796 , 914 , 820 ," 18,680 ",,,,,,,,,,,
Oct-97," 18,786 "," 2,883 ", 750 ," 1,180 "," 23,599 "," 17,806 ", 869 , 913 ," 1,018 "," 20,606 ",,,,,,,,,,,
Nov-97," 15,857 "," 2,366 ", 665 ," 1,164 "," 20,052 "," 12,964 ", 744 , 915 , 589 ," 15,212 ",,,,,,,,,,,
Dec-97," 15,043 "," 1,657 ", 767 ," 1,026 "," 18,493 "," 11,896 ", 598 , 911 , 546 ," 13,951 ",,,,,,,,,,,
Jan-98," 16,192 "," 2,056 "," 1,054 ", 971 ," 20,273 "," 15,697 ", 256 , 861 , 524 ," 17,338 ",,,,,,,,,,,
Feb-98," 16,121 "," 2,645 "," 1,044 "," 1,111 "," 20,921 "," 14,893 ", 764 , 864 , 730 ," 17,251 ",,,,,,,,,,,
Mar-98," 17,597 "," 3,031 "," 1,142 "," 1,110 "," 22,880 "," 17,024 ", 882 , 871 , 482 ," 19,259 ",,,,,,,,,,,
Apr-98," 17,496 "," 2,777 "," 1,092 ", 850 ," 22,215 "," 17,874 ", 816 , 874 , 571 ," 20,135 ",,,,,,,,,,,
May-98," 16,392 "," 2,332 "," 1,077 ", 872 ," 20,673 "," 17,014 ", 599 , 871 , 508 ," 18,992 ",,,,,,,,,,,
Jun-98," 18,037 "," 2,562 "," 1,168 "," 1,044 "," 22,811 "," 17,594 ", 832 , 876 , 489 ," 19,791 ",,,,,,,,,,,
Jul-98," 16,438 "," 2,033 "," 1,253 ", 802 ," 20,526 "," 12,938 ", 513 , 874 , 233 ," 14,558 ",,,,,,,,,,,
Aug-98," 17,388 "," 2,546 "," 1,398 ", 645 ," 21,977 "," 16,061 ", 909 , 947 , 327 ," 18,244 ",,,,,,,,,,,
Sep-98," 19,510 "," 2,475 "," 1,289 ", 474 ," 23,748 "," 19,162 ", 853 , 959 , 316 ," 21,290 ",,,,,,,,,,,
Oct-98," 21,436 "," 3,043 "," 1,172 ", 530 ," 26,181 "," 20,938 ", 803 , 940 , 254 ," 22,935 ",,,,,,,,,,,
