"Month","y"
1996-01-01," 18,185 "
1996-02-01," 18,651 "
1996-03-01," 17,860 "
1996-04-01," 17,545 "
1996-05-01," 17,726 "
1996-06-01," 16,395 "
1996-07-01," 13,514 "
1996-08-01," 15,698 "
1996-09-01," 15,540 "
1996-10-01," 15,237 "
1996-11-01," 14,714 "
1996-12-01," 13,294 "
1997-01-01," 15,808 "
1997-02-01," 16,573 "
1997-03-01," 16,709 "
1997-04-01," 18,409 "
1997-05-01," 18,589 "
1997-06-01," 19,013 "
1997-07-01," 17,322 "
1997-08-01," 18,466 "
1997-09-01," 20,960 "
1997-10-01," 23,599 "
1997-11-01," 20,052 "
1997-12-01," 18,493 "
1998-01-01," 20,273 "
1998-02-01," 20,921 "
1998-03-01," 22,880 "
1998-04-01," 22,215 "
1998-05-01," 20,673 "
1998-06-01," 22,811 "
1998-07-01," 20,526 "
1998-08-01," 21,977 "
1998-09-01," 23,748 "
1998-10-01," 26,181 "
1998-11-01," 23,392 "
1998-12-01," 21,143 "
1999-01-01," 24,253 "
1999-02-01," 25,544 "
1999-03-01," 29,171 "
1999-04-01," 28,144 "
1999-05-01," 26,304 "
1999-06-01," 29,744 "
1999-07-01," 26,163 "
1999-08-01," 29,147 "
1999-09-01," 29,246 "
1999-10-01," 31,034 "
1999-11-01," 28,981 "
1999-12-01," 24,866 "
2000-01-01," 26,278 "
2000-02-01," 27,749 "
2000-03-01," 29,751 "
2000-04-01," 23,156 "
2000-05-01," 26,183 "
2000-06-01," 24,445 "
2000-07-01," 16,808 "
2000-08-01," 19,100 "
2000-09-01," 16,301 "
2000-10-01," 14,939 "
2000-11-01," 15,031 "
2000-12-01," 12,247 "
2001-01-01," 13,139 "
2001-02-01," 12,198 "
2001-03-01," 13,588 "
2001-04-01," 12,174 "
2001-05-01," 13,619 "
2001-06-01," 12,955 "
2001-07-01," 10,812 "
2001-08-01," 12,116 "
2001-09-01," 11,057 "
2001-10-01," 13,916 "
2001-11-01," 11,475 "
2001-12-01," 8,896 "
2002-01-01," 10,279 "
2002-02-01," 11,813 "
2002-03-01," 12,810 "
2002-04-01," 14,512 "
2002-05-01," 17,282 "
2002-06-01," 16,950 "
2002-07-01," 17,827 "
2002-08-01," 19,796 "
2002-09-01," 18,317 "
2002-10-01," 19,127 "
2002-11-01," 12,325 "
2002-12-01," 10,137 "
2003-01-01," 12,297 "
2003-02-01," 12,015 "
2003-03-01," 12,905 "
2003-04-01," 14,863 "
2003-05-01," 15,264 "
2003-06-01," 15,555 "
2003-07-01," 15,462 "
2003-08-01," 15,471 "
2003-09-01," 16,733 "
2003-10-01," 19,687 "
2003-11-01," 15,856 "
2003-12-01," 15,740 "
2004-01-01," 15,621 "
2004-02-01," 17,391 "
2004-03-01," 22,017 "
2004-04-01," 20,459 "
2004-05-01," 20,010 "
2004-06-01," 24,151 "
2004-07-01," 20,852 "
2004-08-01," 24,105 "
2004-09-01," 26,513 "
2004-10-01," 27,405 "
2004-11-01," 26,324 "
2004-12-01," 24,252 "
2005-01-01," 25,487 "
2005-02-01," 27,130 "
2005-03-01," 28,423 "
2005-04-01," 29,073 "
2005-05-01," 29,622 "
2005-06-01," 30,837 "
2005-07-01," 26,126 "
2005-08-01," 30,870 "
2005-09-01," 30,294 "
2005-10-01," 31,533 "
2005-11-01," 26,205 "
2005-12-01," 23,526 "
2006-01-01," 29,518 "
2006-02-01," 28,864 "
2006-03-01," 33,070 "
2006-04-01," 28,806 "
2006-05-01," 34,390 "
2006-06-01," 27,751 "
2006-07-01," 30,324 "
2006-08-01," 36,017 "
2006-09-01," 33,417 "
2006-10-01," 36,726 "
2006-11-01," 33,241 "
2006-12-01," 24,324 "
2007-01-01," 28,722 "
2007-02-01," 23,225 "
2007-03-01," 22,481 "
2007-04-01," 14,752 "
2007-05-01," 15,093 "
2007-06-01," 15,228 "
2007-07-01," 13,980 "
2007-08-01," 17,741 "
2007-09-01," 14,800 "
2007-10-01," 18,246 "
2007-11-01," 14,326 "
2007-12-01," 13,797 "
2008-01-01," 18,266 "
2008-02-01," 15,986 "
2008-03-01," 15,457 "
2008-04-01," 20,146 "
2008-05-01," 18,778 "
2008-06-01," 18,865 "
2008-07-01," 16,337 "
2008-08-01," 17,305 "
2008-09-01," 18,100 "
2008-10-01," 18,973 "
2008-11-01," 14,082 "
2008-12-01," 13,344 "
2009-01-01," 10,166 "
2009-02-01," 9,368 "
2009-03-01," 8,954 "
2009-04-01," 7,370 "
2009-05-01," 7,585 "
2009-06-01," 9,808 "
2009-07-01," 8,830 "
2009-08-01," 10,106 "
2009-09-01," 10,971 "
2009-10-01," 12,255 "
2009-11-01," 11,302 "
2009-12-01," 11,681 "
2010-01-01," 11,356 "
2010-02-01," 11,139 "
2010-03-01," 12,494 "
2010-04-01," 11,259 "
